section_code,section_number,title,description,category,punishment,source
BNSS-267,267,Evidence for prosecution,Section 267: Evidence for prosecution,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=267&orderno=
BNS-268,268,Personation of assessor,Section 268: Personation of assessor,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=268&orderno=
BNSS-268,268,When accused shall be discharged,Section 268: When accused shall be discharged,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=268&orderno=
BNS-269,269,Failure by person released on bail bond or bond to appear in Court,Section 269: Failure by person released on bail bond or bond to appear in Court,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=269&orderno=
BNSS-269,269,Procedure where accused is not discharged,Section 269: Procedure where accused is not discharged,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=269&orderno=
BNS-27,27,"Act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian","Section 27: Act done in good faith for benefit of child or person of unsound mind, by, or by consent of guardian",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=27&orderno=
BNSS-27,27,Powers of officers appointed,Section 27: Powers of officers appointed,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=27&orderno=
EVIDENCE-27,27,"Relevancy of certain evidence for proving, in subsequent proceeding, truth of facts therein stated","Section 27: Relevancy of certain evidence for proving, in subsequent proceeding, truth of facts therein stated",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=27&orderno=
BNS-270,270,Public nuisance,Section 270: Public nuisance,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=270&orderno=
BNSS-270,270,Evidence for defence,Section 270: Evidence for defence,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=270&orderno=
