section_code,section_number,title,description,category,punishment,source
BNS-1,1,"Short title, commencement and application","Section 1: Short title, commencement and application",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=1&orderno=
BNSS-1,1,"Short title, extent and commencement","Section 1: Short title, extent and commencement",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=1&orderno=
EVIDENCE-1,1,"Short title, application and commencement","Section 1: Short title, application and commencement",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=1&orderno=
BNS-10,10,"Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which","Section 10: Punishment of person guilty of one of several offences, judgment stating that it is doubtful of which",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=10&orderno=
BNSS-10,10,"Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc","Section 10: Chief Judicial Magistrate and Additional Chief Judicial Magistrate, etc",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=10&orderno=
EVIDENCE-10,10,Facts tending to enable Court to determine amount are relevant in suits for damages,Section 10: Facts tending to enable Court to determine amount are relevant in suits for damages,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=10&orderno=
BNS-100,100,Culpable homicide,Section 100: Culpable homicide,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=100&orderno=
BNSS-100,100,Search for persons wrongfully confined,Section 100: Search for persons wrongfully confined,General Exceptions,Imprisonment and/or Fine (as per statute),https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=100&orderno=
BNS-101,101,Murder,Section 101: Murder,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=101&orderno=
BNSS-101,101,Power to compel restoration of abducted females,Section 101: Power to compel restoration of abducted females,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=101&orderno=
EVIDENCE-101,101,"Evidence as to meaning of illegible characters, etc","Section 101: Evidence as to meaning of illegible characters, etc",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=101&orderno=
BNS-102,102,Culpable homicide by causing death of person other than person whose death was intended,Section 102: Culpable homicide by causing death of person other than person whose death was intended,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=102&orderno=
BNSS-102,102,"Direction, etc","Section 102: Direction, etc",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=102&orderno=
EVIDENCE-102,102,Who may give evidence of agreement varying terms of document,Section 102: Who may give evidence of agreement varying terms of document,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=102&orderno=
BNS-103,103,Punishment for murder,Section 103: Punishment for murder,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=103&orderno=
BNSS-103,103,Persons in charge of closed place to allow search,Section 103: Persons in charge of closed place to allow search,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=103&orderno=
EVIDENCE-103,103,Saving of provisions of Indian Succession Act relating to wills,Section 103: Saving of provisions of Indian Succession Act relating to wills,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=103&orderno=
BNS-104,104,Punishment for murder by life-convict,Section 104: Punishment for murder by life-convict,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=104&orderno=
BNSS-104,104,Disposal of things found in search beyond jurisdiction,Section 104: Disposal of things found in search beyond jurisdiction,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=104&orderno=
EVIDENCE-104,104,Burden of proof,Section 104: Burden of proof,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=104&orderno=
BNS-105,105,Punishment for culpable homicide not amounting to murder,Section 105: Punishment for culpable homicide not amounting to murder,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=105&orderno=
BNSS-105,105,Recording of search and seizure through audio video electronic means,Section 105: Recording of search and seizure through audio video electronic means,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=105&orderno=
EVIDENCE-105,105,On whom burden of proof lies,Section 105: On whom burden of proof lies,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=105&orderno=
BNS-106,106,Causing death by negligence,Section 106: Causing death by negligence,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=106&orderno=
BNSS-106,106,Power of police officer to seize certain property,Section 106: Power of police officer to seize certain property,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=106&orderno=
EVIDENCE-106,106,Burden of proof as to particular fact,Section 106: Burden of proof as to particular fact,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=106&orderno=
BNS-107,107,Abetment of suicide of child or person of unsound mind,Section 107: Abetment of suicide of child or person of unsound mind,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=107&orderno=
BNSS-107,107,"Attachment, forfeiture or restoration of property","Section 107: Attachment, forfeiture or restoration of property",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=107&orderno=
EVIDENCE-107,107,Burden of proving fact to be proved to make evidence admissible,Section 107: Burden of proving fact to be proved to make evidence admissible,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=107&orderno=
BNS-108,108,Abetment of suicide,Section 108: Abetment of suicide,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=108&orderno=
BNSS-108,108,Magistrate may direct search in his presence,Section 108: Magistrate may direct search in his presence,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=108&orderno=
EVIDENCE-108,108,Burden of proving that case of accused comes within exceptions,Section 108: Burden of proving that case of accused comes within exceptions,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=108&orderno=
BNS-109,109,Attempt to murder,Section 109: Attempt to murder,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=109&orderno=
BNSS-109,109,"Power to impound document, etc","Section 109: Power to impound document, etc",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=109&orderno=
EVIDENCE-109,109,Burden of proving fact especially within knowledge,Section 109: Burden of proving fact especially within knowledge,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=109&orderno=
BNS-11,11,Solitary confinement,Section 11: Solitary confinement,General Exceptions,Imprisonment and/or Fine (as per statute),https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=11&orderno=
BNSS-11,11,Special Judicial Magistrates,Section 11: Special Judicial Magistrates,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=11&orderno=
EVIDENCE-11,11,Facts relevant when right or custom is in question,Section 11: Facts relevant when right or custom is in question,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=11&orderno=
BNS-110,110,Attempt to commit culpable homicide,Section 110: Attempt to commit culpable homicide,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=110&orderno=
BNSS-110,110,Reciprocal arrangements regarding processes,Section 110: Reciprocal arrangements regarding processes,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=110&orderno=
EVIDENCE-110,110,Burden of proving death of person known to have been alive within thirty years,Section 110: Burden of proving death of person known to have been alive within thirty years,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=110&orderno=
BNS-111,111,Organised crime,Section 111: Organised crime,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=111&orderno=
BNSS-111,111,Definitions,Section 111: Definitions,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=111&orderno=
EVIDENCE-111,111,Burden of proving that person is alive who has not been heard of for seven years,Section 111: Burden of proving that person is alive who has not been heard of for seven years,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=111&orderno=
BNS-112,112,Petty organised crime,Section 112: Petty organised crime,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=112&orderno=
BNSS-112,112,Letter of request to competent authority for investigation in a country or place outside India,Section 112: Letter of request to competent authority for investigation in a country or place outside India,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=112&orderno=
EVIDENCE-112,112,"Burden of proof as to relationship in the cases of partners, landlord and tenant, principal and agent","Section 112: Burden of proof as to relationship in the cases of partners, landlord and tenant, principal and agent",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=112&orderno=
BNS-113,113,Terrorist act,Section 113: Terrorist act,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=113&orderno=
BNSS-113,113,Letter of request from a country or place outside India to a Court or an authority for investigation in India,Section 113: Letter of request from a country or place outside India to a Court or an authority for investigation in India,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=113&orderno=
EVIDENCE-113,113,Burden of proof as to ownership,Section 113: Burden of proof as to ownership,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=113&orderno=
BNS-114,114,Hurt,Section 114: Hurt,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=114&orderno=
BNSS-114,114,Assistance in securing transfer of persons,Section 114: Assistance in securing transfer of persons,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=114&orderno=
EVIDENCE-114,114,Proof of good faith in transactions where one party is in relation of active confidence,Section 114: Proof of good faith in transactions where one party is in relation of active confidence,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=114&orderno=
BNS-115,115,Voluntarily causing hurt,Section 115: Voluntarily causing hurt,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=115&orderno=
BNSS-115,115,Assistance in relation to orders of attachment or forfeiture of property,Section 115: Assistance in relation to orders of attachment or forfeiture of property,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=115&orderno=
EVIDENCE-115,115,Presumption as to certain offences,Section 115: Presumption as to certain offences,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=115&orderno=
BNS-116,116,Grievous hurt,Section 116: Grievous hurt,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=116&orderno=
BNSS-116,116,Identifying unlawfully acquired property,Section 116: Identifying unlawfully acquired property,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=116&orderno=
EVIDENCE-116,116,"Birth during marriage, conclusive proof of legitimacy","Section 116: Birth during marriage, conclusive proof of legitimacy",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=116&orderno=
BNS-117,117,Voluntarily causing grievous hurt,Section 117: Voluntarily causing grievous hurt,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=117&orderno=
BNSS-117,117,Seizure or attachment of property,Section 117: Seizure or attachment of property,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=117&orderno=
EVIDENCE-117,117,Presumption as to abetment of suicide by a married woman,Section 117: Presumption as to abetment of suicide by a married woman,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=117&orderno=
BNS-118,118,Voluntarily causing hurt or grievous hurt by dangerous weapons or means,Section 118: Voluntarily causing hurt or grievous hurt by dangerous weapons or means,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=118&orderno=
BNSS-118,118,Management of properties seized or forfeited under this Chapter,Section 118: Management of properties seized or forfeited under this Chapter,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=118&orderno=
EVIDENCE-118,118,Presumption as to dowry death,Section 118: Presumption as to dowry death,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=118&orderno=
BNS-119,119,"Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act","Section 119: Voluntarily causing hurt or grievous hurt to extort property, or to constrain to an illegal act",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=119&orderno=
BNSS-119,119,Notice of forfeiture of property,Section 119: Notice of forfeiture of property,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=119&orderno=
EVIDENCE-119,119,Court may presume existence of certain facts,Section 119: Court may presume existence of certain facts,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=119&orderno=
BNS-12,12,Limit of solitary confinement,Section 12: Limit of solitary confinement,General Exceptions,Imprisonment and/or Fine (as per statute),https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=12&orderno=
BNSS-12,12,Local Jurisdiction of Judicial Magistrates,Section 12: Local Jurisdiction of Judicial Magistrates,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=12&orderno=
EVIDENCE-12,12,"Facts showing existence of state of mind, or of body or bodily feeling","Section 12: Facts showing existence of state of mind, or of body or bodily feeling",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=12&orderno=
BNS-120,120,"Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property","Section 120: Voluntarily causing hurt or grievous hurt to extort confession, or to compel restoration of property",General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=120&orderno=
BNSS-120,120,Forfeiture of property in certain cases,Section 120: Forfeiture of property in certain cases,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=120&orderno=
EVIDENCE-120,120,Presumption as to absence of consent in certain prosecution for rape,Section 120: Presumption as to absence of consent in certain prosecution for rape,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=120&orderno=
BNS-121,121,Voluntarily causing hurt or grievous hurt to deter public servant from his duty,Section 121: Voluntarily causing hurt or grievous hurt to deter public servant from his duty,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=121&orderno=
BNSS-121,121,Fine in lieu of forfeiture,Section 121: Fine in lieu of forfeiture,Of Offences Against Public Tranquillity,Imprisonment and/or Fine (as per statute),https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=121&orderno=
EVIDENCE-121,121,Estoppel,Section 121: Estoppel,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=121&orderno=
BNS-122,122,Voluntarily causing hurt or grievous hurt on provocation,Section 122: Voluntarily causing hurt or grievous hurt on provocation,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=122&orderno=
BNSS-122,122,Certain transfers to be null and void,Section 122: Certain transfers to be null and void,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=122&orderno=
EVIDENCE-122,122,Estoppel of tenant and of licensee of person in possession,Section 122: Estoppel of tenant and of licensee of person in possession,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=122&orderno=
BNS-123,123,"Causing hurt by means of poison, etc","Section 123: Causing hurt by means of poison, etc",Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=123&orderno=
BNSS-123,123,Procedure in respect of letter of request,Section 123: Procedure in respect of letter of request,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=123&orderno=
EVIDENCE-123,123,"Estoppel of acceptor of bill of exchange, bailee or licensee","Section 123: Estoppel of acceptor of bill of exchange, bailee or licensee",Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=123&orderno=
BNS-124,124,"Voluntarily causing grievous hurt by use of acid, etc","Section 124: Voluntarily causing grievous hurt by use of acid, etc",Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=124&orderno=
BNSS-124,124,Application of this Chapter,Section 124: Application of this Chapter,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=124&orderno=
EVIDENCE-124,124,Who may testify,Section 124: Who may testify,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=124&orderno=
BNS-125,125,Act endangering life or personal safety of others,Section 125: Act endangering life or personal safety of others,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=125&orderno=
BNSS-125,125,Security for keeping peace on conviction,Section 125: Security for keeping peace on conviction,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=125&orderno=
EVIDENCE-125,125,Witness unable to communicate verbally,Section 125: Witness unable to communicate verbally,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=125&orderno=
BNS-126,126,Wrongful restraint,Section 126: Wrongful restraint,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=126&orderno=
BNSS-126,126,Security for keeping peace in other cases,Section 126: Security for keeping peace in other cases,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=126&orderno=
EVIDENCE-126,126,Competency of husband and wife as witnesses in certain cases,Section 126: Competency of husband and wife as witnesses in certain cases,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=126&orderno=
BNS-127,127,Wrongful confinement,Section 127: Wrongful confinement,Of Offences Against Public Tranquillity,Imprisonment and/or Fine (as per statute),https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=127&orderno=
BNSS-127,127,Security for good behaviour from persons disseminating certain matters,Section 127: Security for good behaviour from persons disseminating certain matters,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=127&orderno=
EVIDENCE-127,127,Judges and Magistrates,Section 127: Judges and Magistrates,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=127&orderno=
BNS-128,128,Force,Section 128: Force,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=128&orderno=
BNSS-128,128,Security for good behaviour from suspected persons,Section 128: Security for good behaviour from suspected persons,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=128&orderno=
EVIDENCE-128,128,Communications during marriage,Section 128: Communications during marriage,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=128&orderno=
BNS-129,129,Criminal force,Section 129: Criminal force,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=129&orderno=
BNSS-129,129,Security for good behaviour from habitual offenders,Section 129: Security for good behaviour from habitual offenders,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=129&orderno=
EVIDENCE-129,129,Evidence as to affairs of State,Section 129: Evidence as to affairs of State,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=129&orderno=
BNS-13,13,Enhanced punishment for certain offences after previous conviction,Section 13: Enhanced punishment for certain offences after previous conviction,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=13&orderno=
BNSS-13,13,Subordination of Judicial Magistrates,Section 13: Subordination of Judicial Magistrates,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=13&orderno=
EVIDENCE-13,13,Facts bearing on question whether act was accidental or intentional,Section 13: Facts bearing on question whether act was accidental or intentional,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=13&orderno=
BNS-130,130,Assault,Section 130: Assault,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=130&orderno=
BNSS-130,130,Order to be made,Section 130: Order to be made,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=130&orderno=
EVIDENCE-130,130,Official communications,Section 130: Official communications,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=130&orderno=
BNS-131,131,Punishment for assault or criminal force otherwise than on grave provocation,Section 131: Punishment for assault or criminal force otherwise than on grave provocation,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=131&orderno=
BNSS-131,131,Procedure in respect of person present in Court,Section 131: Procedure in respect of person present in Court,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=131&orderno=
EVIDENCE-131,131,Information as to commission of offences,Section 131: Information as to commission of offences,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=131&orderno=
BNS-132,132,Assault or criminal force to deter public servant from discharge of his duty,Section 132: Assault or criminal force to deter public servant from discharge of his duty,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=132&orderno=
BNSS-132,132,Summons or warrant in case of person not so present,Section 132: Summons or warrant in case of person not so present,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=132&orderno=
EVIDENCE-132,132,Professional communications,Section 132: Professional communications,Of Offences Against Public Tranquillity,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=132&orderno=
